CostoDespachoId,Comuna,Valor,Pmin,Pmax,Nombre Comuna,numberID
305,1559,2862,21,50,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
306,1559,2764,51,100,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
307,1559,2690,101,200,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
308,1559,2651,201,400,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
309,1559,2625,401,600,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
310,1559,2590,601,1000,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
311,1559,2560,1001,2000,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
312,1559,2522,2001,3500,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
313,1559,2507,3501,5000,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
314,1559,2478,5001,10000,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
315,1559,2464,10001,18000,CHOQUELIMPIE (XV Región de Arica y Parinacota),1658
316,1560,13505,0,3,CODPA (XV Región de Arica y Parinacota),1659
317,1560,3627,"3,1",6,CODPA (XV Región de Arica y Parinacota),1659
318,1560,3306,"6,1",10,CODPA (XV Región de Arica y Parinacota),1659
319,1560,3159,"10,1",20,CODPA (XV Región de Arica y Parinacota),1659
320,1560,2862,21,50,CODPA (XV Región de Arica y Parinacota),1659
321,1560,2764,51,100,CODPA (XV Región de Arica y Parinacota),1659
322,1560,2690,101,200,CODPA (XV Región de Arica y Parinacota),1659
323,1560,2651,201,400,CODPA (XV Región de Arica y Parinacota),1659
324,1560,2625,401,600,CODPA (XV Región de Arica y Parinacota),1659
325,1560,2590,601,1000,CODPA (XV Región de Arica y Parinacota),1659
326,1560,2560,1001,2000,CODPA (XV Región de Arica y Parinacota),1659
327,1560,2522,2001,3500,CODPA (XV Región de Arica y Parinacota),1659
328,1560,2507,3501,5000,CODPA (XV Región de Arica y Parinacota),1659
329,1560,2478,5001,10000,CODPA (XV Región de Arica y Parinacota),1659
330,1560,2464,10001,18000,CODPA (XV Región de Arica y Parinacota),1659
331,1561,13505,0,3,COPAQUILLA (XV Región de Arica y Parinacota),1660
332,1561,3627,"3,1",6,COPAQUILLA (XV Región de Arica y Parinacota),1660
333,1561,3306,"6,1",10,COPAQUILLA (XV Región de Arica y Parinacota),1660
334,1561,3159,"10,1",20,COPAQUILLA (XV Región de Arica y Parinacota),1660
335,1561,2862,21,50,COPAQUILLA (XV Región de Arica y Parinacota),1660
336,1561,2764,51,100,COPAQUILLA (XV Región de Arica y Parinacota),1660
337,1561,2690,101,200,COPAQUILLA (XV Región de Arica y Parinacota),1660
338,1561,2651,201,400,COPAQUILLA (XV Región de Arica y Parinacota),1660
339,1561,2625,401,600,COPAQUILLA (XV Región de Arica y Parinacota),1660
340,1561,2590,601,1000,COPAQUILLA (XV Región de Arica y Parinacota),1660
341,1561,2560,1001,2000,COPAQUILLA (XV Región de Arica y Parinacota),1660
342,1561,2522,2001,3500,COPAQUILLA (XV Región de Arica y Parinacota),1660
